peer_id,person_id,conditions,symptoms,treatments,demographics,lifestyle
17,22,0.713874,,0.533354,0.864865,0.333333
17,23,0.513646,,0.627243,0.472222,0.333333
17,24,1.000000,,0.705241,0.957627,0.500000
17,25,0.657432,,0.669546,0.409091,0.833333
18,19,1.000000,,0.879879,0.388889,0.833333
18,20,0.862957,,0.684937,0.883562,0.833333
18,21,1.000000,,0.665262,0.924242,0.833333
18,22,0.645950,,0.593208,0.878378,1.000000
18,23,0.706734,,0.712246,0.455357,1.000000
18,24,0.598082,,0.846817,0.974576,0.833333
18,25,0.534756,,0.828180,0.424242,0.166667
19,20,0.862957,,0.617549,0.493151,0.666667
19,21,1.000000,,0.661895,0.458333,1.000000
19,22,0.645950,,0.574776,0.486486,0.833333
19,23,0.706734,,0.686748,0.854167,0.833333
19,24,0.598082,,0.812859,0.409722,0.666667
19,25,0.534756,,0.887996,0.958333,0.000000
20,21,0.862957,,0.479851,0.952055,0.666667
20,22,0.668882,0.508211,0.538311,0.993243,0.833333
20,23,0.656671,0.648158,0.600214,0.349315,0.833333
20,24,0.649870,0.576824,0.648935,0.904110,1.000000
20,25,0.574140,,0.614406,0.452055,0.333333
21,22,0.645950,,0.478689,0.945946,0.833333
21,23,0.706734,,0.534921,0.386364,0.833333
21,24,0.598082,,0.638291,0.946970,0.666667
21,25,0.534756,,0.607731,0.500000,0.000000
22,23,0.585638,0.609790,0.498295,0.344595,1.000000
22,24,0.713874,0.653546,0.552677,0.898649,0.833333
22,25,0.580463,,0.580499,0.445946,0.166667
23,24,0.513646,0.655994,0.695888,0.432203,0.833333
23,25,0.527173,,0.640828,0.886364,0.166667
24,25,0.657432,,0.759041,0.446970,0.333333
